[?1049h[22;0;0t[1;33r(B[m[4l[?7h[H[2J| 47%   67C    P2   143W / 400W |   2364MiB / 12288MiB |     27%[71GDefault |[33;104H[1;23H5[1;62H 5[33;104H[1;23H6[1;62H38[33;104H[1;23H4[1;62H27[33;104H[1;63H5[33;104H[1;23H3[1;62H 7[33;104H[1;23H5[33;104H[1;23H6[1;62H36[33;104H[1;23H4[1;62H27[33;104H[1;62H11[33;104H[1;23H6[1;62H32[33;104H[1;23H4[1;62H27[33;104H[1;63H3[33;104H[1;23H3[1;63H1[33;104H[1;62H 8[33;104H[1;23H6[33;104H[1;23H3[1;62H36[33;104H[1;62H28[33;104H[1;63H5[33;104H[1;23H5[1;62H 4[33;104H[1;23H6[1;62H36[33;104H[1;23H5[33;104H[H| 46[1;23H3[1;62H27[33;104H[H| 47[1;63H6[33;104H[1;62H12[33;104H[H| 46[33;104H[1;23H6[1;62H28[33;104H[1;23H4[1;63H5[33;104H[1;23H3[1;63H4[33;104H[1;63H5[33;104H[1;23H2[1;62H 4[33;104H[1;23H6[1;62H37[33;104H[1;23H3[33;104H[1;62H25[33;104H[1;23H2[1;62H11[33;104H[1;23H3[33;104H[1;23H6[1;62H3[33;104H[1;23H3[1;62H27[33;104H[1;23H2[1;62H1[33;104H[1;23H5[1;62H26[33;104H[1;23H6[33;104H[1;23H4[1;63H7[33;104H[1;23H3[1;63H1[33;104H[1;23H6[1;63H0[33;104H[1;63H9[33;104H[1;23H3[1;63H7[33;104H[1;63H6[33;104H[1;10H8[1;62H10[33;104H[1;10H7[1;23H5[33;104H[1;23H4[1;62H35[33;104H[1;62H27[33;104H[1;63H8[33;104H[1;23H3[33;104H[1;23H5[1;62H 4[33;104H[1;23H6[1;62H39[33;104H[1;23H4[1;62H27[33;104H[1;23H3[33;104H[1;62H 6[33;104H[1;23H5[33;104H[1;23H6[1;62H37[33;104H[1;23H4[1;62H2[33;104H[1;63H8[33;104H[1;23H3[33;104H[1;23H4[1;62H 9[33;104H[1;23H5[1;62H33[33;104H[1;23H4[1;62H28[33;104H[1;23H3[1;62H14[33;104H[1;23H6[1;62H29[33;104H[1;23H5[1;63H7[33;104H[1;23H4[33;104H[33;1H[?1049l[23;0;0t [?1l>| 42%   66C    P2   143W / 400W |   2364MiB / 12288MiB |     28%      Default |
| 42%   66C    P2   145W / 400W |   2364MiB / 12288MiB |     36%      Default |
| 40%   67C    P2   133W / 400W |   2180MiB / 12288MiB |      5%      Default |
| 40%   67C    P2   133W / 400W |   2304MiB / 12288MiB |     12%      Default |
| 40%   66C    P2   133W / 400W |   2378MiB / 12288MiB |      8%      Default |
| 40%   67C    P2   133W / 400W |   2378MiB / 12288MiB |      0%      Default |
| 40%   66C    P0   134W / 400W |    109MiB / 12288MiB |     23%      Default |
| 40%   66C    P0   135W / 400W |    109MiB / 12288MiB |      0%      Default |
| 40%   64C    P5   133W / 400W |    109MiB / 12288MiB |      0%      Default |
| 40%   63C    P8    83W / 400W |    109MiB / 12288MiB |      0%      Default |
| 40%   62C    P8    31W / 400W |    109MiB / 12288MiB |      0%      Default |
| 40%   63C    P8    34W / 400W |    109MiB / 12288MiB |      0%      Default |
| 40%   63C    P8    26W / 400W |    109MiB / 12288MiB |      0%      Default |
| 40%   62C    P8    24W / 400W |    109MiB / 12288MiB |      0%      Default |
| 40%   65C    P2    53W / 400W |    430MiB / 12288MiB |      6%      Default |
| 40%   65C    P2   131W / 400W |   1002MiB / 12288MiB |      4%      Default |
| 40%   66C    P2   132W / 400W |   1002MiB / 12288MiB |      0%      Default |
| 40%   65C    P2   132W / 400W |   1254MiB / 12288MiB |      5%      Default |
| 40%   65C    P2   132W / 400W |   1744MiB / 12288MiB |      5%      Default |
| 40%   70C    P2   204W / 400W |   5348MiB / 12288MiB |     96%      Default |
| 40%   70C    P2   268W / 400W |   8970MiB / 12288MiB |     96%      Default |
| 40%   71C    P2   261W / 400W |   5446MiB / 12288MiB |     96%      Default |
| 40%   71C    P2   265W / 400W |   9234MiB / 12288MiB |     94%      Default |
| 40%   70C    P2   260W / 400W |   5444MiB / 12288MiB |     95%      Default |
| 40%   72C    P2   261W / 400W |   5446MiB / 12288MiB |     96%      Default |
| 40%   71C    P2   259W / 400W |   5446MiB / 12288MiB |     97%      Default |
| 41%   72C    P2   257W / 400W |   6946MiB / 12288MiB |     96%      Default |
| 41%   71C    P2   259W / 400W |   5446MiB / 12288MiB |     95%      Default |
| 41%   72C    P2   250W / 400W |   5446MiB / 12288MiB |     93%      Default |
| 42%   73C    P2   254W / 400W |  10248MiB / 12288MiB |     95%      Default |
| 42%   73C    P2   247W / 400W |  10342MiB / 12288MiB |     95%      Default |
| 42%   72C    P2   262W / 400W |   5444MiB / 12288MiB |     95%      Default |
| 42%   72C    P2   263W / 400W |   3384MiB / 12288MiB |     96%      Default |
| 43%   73C    P2   261W / 400W |   5446MiB / 12288MiB |     94%      Default |
| 43%   74C    P2   263W / 400W |   5446MiB / 12288MiB |     96%      Default |
| 43%   74C    P2   264W / 400W |   8634MiB / 12288MiB |     96%      Default |
| 44%   74C    P2   267W / 400W |   9400MiB / 12288MiB |     96%      Default |
| 44%   73C    P2   267W / 400W |   3132MiB / 12288MiB |     96%      Default |
| 45%   73C    P2   264W / 400W |   5446MiB / 12288MiB |     96%      Default |
| 45%   75C    P2   271W / 400W |   6970MiB / 12288MiB |     96%      Default |
| 45%   75C    P2   280W / 400W |   8812MiB / 12288MiB |     99%      Default |
| 45%   75C    P2   270W / 400W |   5834MiB / 12288MiB |     96%      Default |
| 46%   75C    P2   264W / 400W |   9054MiB / 12288MiB |     96%      Default |
| 46%   75C    P2   264W / 400W |   5446MiB / 12288MiB |     96%      Default |
| 45%   75C    P2   270W / 400W |   9324MiB / 12288MiB |     96%      Default |
| 46%   75C    P2   262W / 400W |   9460MiB / 12288MiB |     96%      Default |
| 46%   74C    P2   249W / 400W |   5446MiB / 12288MiB |     98%      Default |
| 46%   74C    P2   255W / 400W |   5924MiB / 12288MiB |     97%      Default |
| 46%   75C    P2   267W / 400W |   9822MiB / 12288MiB |     94%      Default |
| 47%   74C    P2   258W / 400W |   4904MiB / 12288MiB |     94%      Default |
| 47%   74C    P2   252W / 400W |   5444MiB / 12288MiB |     94%      Default |
| 46%   75C    P2   253W / 400W |   5446MiB / 12288MiB |     93%      Default |
| 47%   75C    P2   260W / 400W |  10248MiB / 12288MiB |     98%      Default |
| 47%   74C    P2   262W / 400W |   3460MiB / 12288MiB |    100%      Default |
| 47%   75C    P2   252W / 400W |   5446MiB / 12288MiB |     96%      Default |
| 46%   75C    P2   264W / 400W |   5444MiB / 12288MiB |     91%      Default |
| 47%   76C    P2   258W / 400W |   9648MiB / 12288MiB |     96%      Default |
| 47%   75C    P2   265W / 400W |   9492MiB / 12288MiB |     96%      Default |
| 47%   76C    P2   261W / 400W |   5446MiB / 12288MiB |     96%      Default |
| 47%   76C    P2   271W / 400W |   9234MiB / 12288MiB |     96%      Default |
| 47%   75C    P2   269W / 400W |   5444MiB / 12288MiB |     96%      Default |
| 47%   77C    P2   284W / 400W |   5446MiB / 12288MiB |     98%      Default |
| 48%   78C    P2   290W / 400W |   8824MiB / 12288MiB |     97%      Default |
| 48%   78C    P2   279W / 400W |   8866MiB / 12288MiB |     94%      Default |
| 48%   78C    P2   278W / 400W |   5446MiB / 12288MiB |     96%      Default |
| 48%   78C    P2   274W / 400W |   9114MiB / 12288MiB |     93%      Default |
| 48%   76C    P2   273W / 400W |   5444MiB / 12288MiB |     96%      Default |
| 49%   76C    P2   264W / 400W |   5446MiB / 12288MiB |     97%      Default |
| 49%   76C    P2   263W / 400W |   3152MiB / 12288MiB |     92%      Default |
| 49%   76C    P2   261W / 400W |   5446MiB / 12288MiB |     92%      Default |
| 49%   77C    P2   264W / 400W |   4224MiB / 12288MiB |     96%      Default |
| 49%   77C    P2   260W / 400W |   9922MiB / 12288MiB |     96%      Default |
| 49%   77C    P2   258W / 400W |   9172MiB / 12288MiB |     96%      Default |
| 49%   76C    P2   262W / 400W |   1894MiB / 12288MiB |     94%      Default |
| 49%   76C    P2   256W / 400W |   3460MiB / 12288MiB |     94%      Default |
| 49%   76C    P2   257W / 400W |   5446MiB / 12288MiB |     96%      Default |
| 49%   77C    P2   271W / 400W |   1864MiB / 12288MiB |     91%      Default |
| 49%   77C    P2   259W / 400W |   5446MiB / 12288MiB |     97%      Default |
| 49%   77C    P2   268W / 400W |   5446MiB / 12288MiB |     96%      Default |
| 49%   77C    P2   271W / 400W |   8652MiB / 12288MiB |     96%      Default |
| 49%   79C    P2   276W / 400W |   9416MiB / 12288MiB |     96%      Default |
| 49%   78C    P2   267W / 400W |   9294MiB / 12288MiB |     96%      Default |
| 49%   77C    P2   277W / 400W |   5446MiB / 12288MiB |     94%      Default |
| 49%   78C    P2   276W / 400W |   9028MiB / 12288MiB |     95%      Default |
| 50%   79C    P2   278W / 400W |   6978MiB / 12288MiB |     96%      Default |
| 50%   79C    P2   280W / 400W |   5446MiB / 12288MiB |     96%      Default |
| 50%   79C    P2   271W / 400W |   8704MiB / 12288MiB |     96%      Default |
| 50%   78C    P2   282W / 400W |   7038MiB / 12288MiB |     96%      Default |
| 50%   77C    P2   275W / 400W |   2276MiB / 12288MiB |     95%      Default |
| 51%   78C    P2   272W / 400W |   5446MiB / 12288MiB |     96%      Default |
| 51%   78C    P2   268W / 400W |   5446MiB / 12288MiB |     91%      Default |
| 51%   79C    P2   276W / 400W |   9568MiB / 12288MiB |     96%      Default |
| 51%   78C    P2   258W / 400W |   5446MiB / 12288MiB |     96%      Default |
| 51%   79C    P2   262W / 400W |   9834MiB / 12288MiB |     96%      Default |
| 51%   77C    P2   264W / 400W |   5446MiB / 12288MiB |     96%      Default |
| 51%   78C    P2   261W / 400W |   5446MiB / 12288MiB |     96%      Default |
| 51%   79C    P2   259W / 400W |  10306MiB / 12288MiB |     96%      Default |
| 51%   78C    P2   261W / 400W |  10288MiB / 12288MiB |     94%      Default |
| 51%   78C    P2   265W / 400W |   5446MiB / 12288MiB |     92%      Default |
| 51%   79C    P2   269W / 400W |   9062MiB / 12288MiB |     95%      Default |
| 51%   80C    P2   271W / 400W |   9792MiB / 12288MiB |     96%      Default |
| 51%   78C    P2   266W / 400W |   5446MiB / 12288MiB |     94%      Default |
| 51%   79C    P2   271W / 400W |   5446MiB / 12288MiB |     96%      Default |
| 51%   79C    P2   270W / 400W |   5446MiB / 12288MiB |     96%      Default |
| 51%   80C    P2   273W / 400W |   9234MiB / 12288MiB |     96%      Default |
| 51%   79C    P2   275W / 400W |   1860MiB / 12288MiB |     92%      Default |
| 52%   80C    P2   282W / 400W |   8970MiB / 12288MiB |     96%      Default |
| 52%   80C    P2   285W / 400W |   8842MiB / 12288MiB |     96%      Default |
| 52%   77C    P2   225W / 400W |   1860MiB / 12288MiB |      0%      Default |
| 52%   76C    P2   181W / 400W |   2358MiB / 12288MiB |      3%      Default |
| 52%   78C    P2   183W / 400W |   7168MiB / 12288MiB |     66%      Default |
| 52%   79C    P2   272W / 400W |   5944MiB / 12288MiB |     99%      Default |
| 52%   79C    P2   274W / 400W |   3630MiB / 12288MiB |     99%      Default |
| 52%   80C    P2   275W / 400W |   5944MiB / 12288MiB |     94%      Default |
| 52%   80C    P2   276W / 400W |   9314MiB / 12288MiB |     99%      Default |
| 52%   79C    P2   271W / 400W |   5944MiB / 12288MiB |     99%      Default |
| 52%   80C    P2   271W / 400W |   5944MiB / 12288MiB |     99%      Default |
| 53%   79C    P2   263W / 400W |   7994MiB / 12288MiB |     99%      Default |
| 53%   80C    P2   267W / 400W |   5944MiB / 12288MiB |     96%      Default |
| 53%   80C    P2   266W / 400W |  10028MiB / 12288MiB |     95%      Default |
| 53%   79C    P2   265W / 400W |   5944MiB / 12288MiB |     96%      Default |
| 53%   80C    P2   268W / 400W |  10866MiB / 12288MiB |     97%      Default |
| 53%   79C    P2   269W / 400W |   5944MiB / 12288MiB |     99%      Default |
| 53%   79C    P2   274W / 400W |   5944MiB / 12288MiB |     95%      Default |
| 53%   79C    P2   271W / 400W |   5944MiB / 12288MiB |     99%      Default |
| 53%   79C    P2   275W / 400W |   5944MiB / 12288MiB |     98%      Default |
| 53%   79C    P2   268W / 400W |   5942MiB / 12288MiB |     98%      Default |
| 53%   79C    P2   275W / 400W |   5944MiB / 12288MiB |     99%      Default |
| 53%   81C    P2   283W / 400W |   6980MiB / 12288MiB |     99%      Default |
| 54%   79C    P2   274W / 400W |   5942MiB / 12288MiB |    100%      Default |
| 54%   80C    P2   272W / 400W |   5944MiB / 12288MiB |     99%      Default |
| 55%   80C    P2   280W / 400W |   5944MiB / 12288MiB |     99%      Default |
| 55%   80C    P2   278W / 400W |   5944MiB / 12288MiB |     99%      Default |
| 55%   80C    P2   280W / 400W |   5944MiB / 12288MiB |     97%      Default |
| 56%   81C    P2   276W / 400W |   9552MiB / 12288MiB |     99%      Default |
| 56%   80C    P2   281W / 400W |   5942MiB / 12288MiB |     99%      Default |
| 56%   80C    P2   267W / 400W |   2374MiB / 12288MiB |     98%      Default |
| 57%   79C    P2   269W / 400W |   5944MiB / 12288MiB |     95%      Default |
| 57%   81C    P2   273W / 400W |   5944MiB / 12288MiB |     95%      Default |
| 57%   80C    P2   274W / 400W |   5944MiB / 12288MiB |     99%      Default |
| 57%   79C    P2   267W / 400W |   5942MiB / 12288MiB |     99%      Default |
| 57%   81C    P2   267W / 400W |   5402MiB / 12288MiB |     99%      Default |
| 58%   80C    P2   269W / 400W |   5944MiB / 12288MiB |     97%      Default |
| 58%   81C    P2   270W / 400W |  10840MiB / 12288MiB |     98%      Default |
| 58%   80C    P2   270W / 400W |   5944MiB / 12288MiB |     99%      Default |
| 58%   81C    P2   269W / 400W |   9424MiB / 12288MiB |     99%      Default |
| 58%   81C    P2   273W / 400W |   7918MiB / 12288MiB |     99%      Default |
| 58%   80C    P2   273W / 400W |   5944MiB / 12288MiB |     96%      Default |
| 59%   80C    P2   281W / 400W |  10078MiB / 12288MiB |     97%      Default |
| 59%   82C    P2   274W / 400W |   9940MiB / 12288MiB |    100%      Default |
| 59%   80C    P2   284W / 400W |   5944MiB / 12288MiB |     99%      Default |
| 59%   81C    P2   284W / 400W |   2392MiB / 12288MiB |     98%      Default |
| 59%   82C    P2   285W / 400W |   9520MiB / 12288MiB |     99%      Default |
| 59%   81C    P2   285W / 400W |   5944MiB / 12288MiB |     99%      Default |
| 59%   80C    P2   279W / 400W |   2774MiB / 12288MiB |    100%      Default |
| 59%   81C    P2   284W / 400W |   9400MiB / 12288MiB |     99%      Default |
| 59%   79C    P2   271W / 400W |   5942MiB / 12288MiB |     99%      Default |
| 60%   81C    P2   279W / 400W |   2360MiB / 12288MiB |     98%      Default |
| 60%   80C    P2   275W / 400W |   5942MiB / 12288MiB |     99%      Default |
| 61%   80C    P2   281W / 400W |   7720MiB / 12288MiB |     99%      Default |
| 60%   80C    P2   271W / 400W |  10078MiB / 12288MiB |     95%      Default |
| 59%   79C    P2   268W / 400W |   5942MiB / 12288MiB |     94%      Default |
| 58%   81C    P2   272W / 400W |   6518MiB / 12288MiB |     96%      Default |
| 59%   80C    P2   273W / 400W |   5944MiB / 12288MiB |     99%      Default |
| 59%   81C    P2   266W / 400W |  10668MiB / 12288MiB |     99%      Default |
| 59%   80C    P2   273W / 400W |   2654MiB / 12288MiB |    100%      Default |
| 59%   80C    P2   272W / 400W |   5944MiB / 12288MiB |     99%      Default |
| 59%   81C    P2   271W / 400W |  10578MiB / 12288MiB |    100%      Default |
| 59%   80C    P2   271W / 400W |   5944MiB / 12288MiB |     97%      Default |
| 59%   80C    P2   275W / 400W |   4722MiB / 12288MiB |     98%      Default |
| 60%   81C    P2   273W / 400W |   3754MiB / 12288MiB |     98%      Default |
| 60%   81C    P2   269W / 400W |   9972MiB / 12288MiB |     99%      Default |
| 60%   79C    P2   278W / 400W |   5942MiB / 12288MiB |     99%      Default |
| 62%   79C    P2   271W / 400W |   5944MiB / 12288MiB |     94%      Default |
| 62%   80C    P2   283W / 400W |   5942MiB / 12288MiB |     99%      Default |
| 62%   80C    P2   279W / 400W |   2362MiB / 12288MiB |     99%      Default |
| 62%   81C    P2   278W / 400W |   8558MiB / 12288MiB |    100%      Default |
| 62%   80C    P2   288W / 400W |   5944MiB / 12288MiB |     97%      Default |
| 62%   80C    P2   281W / 400W |   3020MiB / 12288MiB |     99%      Default |
| 62%   81C    P2   280W / 400W |   5944MiB / 12288MiB |     99%      Default |
| 62%   80C    P2   284W / 400W |   5944MiB / 12288MiB |     98%      Default |
| 62%   81C    P2   273W / 400W |   5944MiB / 12288MiB |     95%      Default |
| 63%   81C    P2   272W / 400W |   5944MiB / 12288MiB |    100%      Default |
| 63%   80C    P2   270W / 400W |   5166MiB / 12288MiB |     99%      Default |
| 63%   79C    P2   272W / 400W |  10308MiB / 12288MiB |     99%      Default |
| 64%   79C    P2   269W / 400W |   5944MiB / 12288MiB |     96%      Default |
| 67%   80C    P2   268W / 400W |   8336MiB / 12288MiB |     99%      Default |
| 67%   79C    P2   267W / 400W |   2408MiB / 12288MiB |     99%      Default |
| 67%   80C    P2   268W / 400W |   5944MiB / 12288MiB |     98%      Default |
| 67%   81C    P2   264W / 400W |  10636MiB / 12288MiB |     97%      Default |
| 67%   79C    P2   272W / 400W |   5944MiB / 12288MiB |     99%      Default |
| 67%   80C    P2   271W / 400W |   3804MiB / 12288MiB |     98%      Default |
| 66%   80C    P2   278W / 400W |   2362MiB / 12288MiB |     99%      Default |
| 66%   81C    P2   275W / 400W |  10024MiB / 12288MiB |     97%      Default |
| 66%   79C    P2   285W / 400W |   5944MiB / 12288MiB |     99%      Default |
| 66%   81C    P2   279W / 400W |   9724MiB / 12288MiB |     98%      Default |
| 66%   80C    P2   278W / 400W |   3630MiB / 12288MiB |     99%      Default |
| 65%   81C    P2   276W / 400W |   9472MiB / 12288MiB |     99%      Default |
| 62%   81C    P2   292W / 400W |   7210MiB / 12288MiB |     99%      Default |
| 62%   77C    P2   231W / 400W |   2358MiB / 12288MiB |      0%      Default |
| 62%   78C    P2   195W / 400W |   2364MiB / 12288MiB |     26%      Default |
| 62%   75C    P2   176W / 400W |   2364MiB / 12288MiB |     28%      Default |
| 63%   75C    P2   161W / 400W |   2364MiB / 12288MiB |     28%      Default |
| 63%   74C    P2   159W / 400W |   2364MiB / 12288MiB |     27%      Default |
| 63%   74C    P2   161W / 400W |   2364MiB / 12288MiB |     30%      Default |
| 63%   74C    P2   161W / 400W |   2364MiB / 12288MiB |     28%      Default |
| 63%   74C    P2   159W / 400W |   2364MiB / 12288MiB |     28%      Default |
| 64%   73C    P2   158W / 400W |   2364MiB / 12288MiB |     28%      Default |
| 67%   74C    P2   160W / 400W |   2364MiB / 12288MiB |     32%      Default |
| 67%   73C    P2   158W / 400W |   2364MiB / 12288MiB |     28%      Default |
| 67%   73C    P2   158W / 400W |   2364MiB / 12288MiB |     28%      Default |
| 67%   73C    P2   157W / 400W |   2364MiB / 12288MiB |     27%      Default |
| 66%   73C    P2   158W / 400W |   2364MiB / 12288MiB |     25%      Default |
| 66%   73C    P2   159W / 400W |   2364MiB / 12288MiB |     38%      Default |
| 66%   72C    P2   156W / 400W |   2364MiB / 12288MiB |     25%      Default |
| 66%   72C    P2   156W / 400W |   2364MiB / 12288MiB |     27%      Default |
| 63%   72C    P2   154W / 400W |   2364MiB / 12288MiB |      4%      Default |
| 62%   72C    P2   157W / 400W |   2364MiB / 12288MiB |     30%      Default |
| 62%   72C    P2   156W / 400W |   2364MiB / 12288MiB |     29%      Default |
| 62%   72C    P2   155W / 400W |   2364MiB / 12288MiB |     28%      Default |
| 62%   71C    P2   154W / 400W |   2364MiB / 12288MiB |      8%      Default |
| 62%   72C    P2   156W / 400W |   2364MiB / 12288MiB |     23%      Default |
| 62%   72C    P2   155W / 400W |   2364MiB / 12288MiB |     37%      Default |
| 62%   71C    P2   154W / 400W |   2364MiB / 12288MiB |     28%      Default |
| 61%   71C    P2   153W / 400W |   2364MiB / 12288MiB |     18%      Default |
| 61%   72C    P2   152W / 400W |   2364MiB / 12288MiB |      1%      Default |
| 60%   71C    P2   156W / 400W |   2364MiB / 12288MiB |     33%      Default |
| 59%   71C    P2   153W / 400W |   2364MiB / 12288MiB |     28%      Default |
| 59%   71C    P2   153W / 400W |   2364MiB / 12288MiB |     28%      Default |
| 59%   71C    P2   151W / 400W |   2364MiB / 12288MiB |      8%      Default |
| 59%   71C    P2   154W / 400W |   2364MiB / 12288MiB |     17%      Default |
| 59%   71C    P2   154W / 400W |   2364MiB / 12288MiB |     40%      Default |
| 59%   71C    P2   155W / 400W |   2364MiB / 12288MiB |     27%      Default |
| 58%   71C    P2   154W / 400W |   2364MiB / 12288MiB |     24%      Default |
| 58%   71C    P2   155W / 400W |   2364MiB / 12288MiB |      5%      Default |
| 58%   71C    P2   160W / 400W |   2364MiB / 12288MiB |     24%      Default |
| 58%   70C    P2   152W / 400W |   2364MiB / 12288MiB |     28%      Default |
| 58%   70C    P2   152W / 400W |   2364MiB / 12288MiB |     28%      Default |
| 58%   70C    P2   149W / 400W |   2364MiB / 12288MiB |     20%      Default |
| 58%   70C    P2   151W / 400W |   2364MiB / 12288MiB |      0%      Default |
| 58%   70C    P2   149W / 400W |   2364MiB / 12288MiB |     28%      Default |
| 61%   70C    P2   149W / 400W |   2364MiB / 12288MiB |     27%      Default |
| 62%   70C    P2   148W / 400W |   2364MiB / 12288MiB |     27%      Default |
| 61%   70C    P2   147W / 400W |   2364MiB / 12288MiB |     18%      Default |
| 60%   70C    P2   151W / 400W |   2364MiB / 12288MiB |     38%      Default |
| 59%   70C    P2   148W / 400W |   2364MiB / 12288MiB |     28%      Default |
| 58%   70C    P2   148W / 400W |   2364MiB / 12288MiB |     28%      Default |
| 57%   70C    P2   147W / 400W |   2364MiB / 12288MiB |     28%      Default |
| 56%   70C    P2   148W / 400W |   2364MiB / 12288MiB |     18%      Default |
| 55%   70C    P2   150W / 400W |   2364MiB / 12288MiB |     41%      Default |
| 54%   70C    P2   154W / 400W |   2364MiB / 12288MiB |     27%      Default |
| 53%   70C    P2   152W / 400W |   2364MiB / 12288MiB |     28%      Default |
| 53%   69C    P2   146W / 400W |   2364MiB / 12288MiB |      4%      Default |
| 52%   70C    P2   149W / 400W |   2364MiB / 12288MiB |     25%      Default |
| 52%   70C    P2   147W / 400W |   2364MiB / 12288MiB |     36%      Default |
| 52%   69C    P2   147W / 400W |   2364MiB / 12288MiB |     28%      Default |
| 52%   69C    P2   147W / 400W |   2364MiB / 12288MiB |     28%      Default |
| 52%   69C    P2   145W / 400W |   2364MiB / 12288MiB |      0%      Default |
| 52%   70C    P2   153W / 400W |   2364MiB / 12288MiB |     32%      Default |
| 52%   69C    P2   149W / 400W |   2364MiB / 12288MiB |     28%      Default |
| 52%   69C    P2   147W / 400W |   2364MiB / 12288MiB |     28%      Default |
| 52%   69C    P2   146W / 400W |   2364MiB / 12288MiB |      7%      Default |
| 52%   69C    P2   148W / 400W |   2364MiB / 12288MiB |     25%      Default |
| 52%   69C    P2   146W / 400W |   2364MiB / 12288MiB |     34%      Default |
| 51%   69C    P2   147W / 400W |   2364MiB / 12288MiB |     28%      Default |
| 51%   69C    P2   146W / 400W |   2364MiB / 12288MiB |     14%      Default |
| 51%   69C    P2   147W / 400W |   2364MiB / 12288MiB |     13%      Default |
| 51%   69C    P2   148W / 400W |   2364MiB / 12288MiB |     40%      Default |
| 51%   69C    P2   147W / 400W |   2364MiB / 12288MiB |     28%      Default |
| 51%   69C    P2   146W / 400W |   2364MiB / 12288MiB |     27%      Default |
| 51%   69C    P2   146W / 400W |   2364MiB / 12288MiB |      7%      Default |
| 51%   69C    P2   149W / 400W |   2364MiB / 12288MiB |     39%      Default |
| 51%   69C    P2   146W / 400W |   2364MiB / 12288MiB |     28%      Default |
| 51%   69C    P2   146W / 400W |   2364MiB / 12288MiB |     28%      Default |
| 51%   69C    P2   147W / 400W |   2364MiB / 12288MiB |     16%      Default |
| 51%   69C    P2   149W / 400W |   2364MiB / 12288MiB |     40%      Default |
| 51%   69C    P2   146W / 400W |   2364MiB / 12288MiB |     28%      Default |
| 51%   69C    P2   146W / 400W |   2364MiB / 12288MiB |     28%      Default |
| 51%   69C    P2   148W / 400W |   2364MiB / 12288MiB |     25%      Default |
| 51%   69C    P2   149W / 400W |   2364MiB / 12288MiB |     32%      Default |
| 51%   69C    P2   146W / 400W |   2364MiB / 12288MiB |     28%      Default |
| 50%   69C    P2   146W / 400W |   2364MiB / 12288MiB |     28%      Default |
| 50%   69C    P2   148W / 400W |   2364MiB / 12288MiB |     31%      Default |
| 50%   69C    P2   148W / 400W |   2364MiB / 12288MiB |     28%      Default |
| 50%   69C    P2   146W / 400W |   2364MiB / 12288MiB |     28%      Default |
| 50%   69C    P2   145W / 400W |   2364MiB / 12288MiB |     27%      Default |
| 50%   69C    P2   148W / 400W |   2364MiB / 12288MiB |      3%      Default |
| 50%   69C    P2   146W / 400W |   2364MiB / 12288MiB |     28%      Default |
| 50%   69C    P2   146W / 400W |   2364MiB / 12288MiB |     28%      Default |
| 50%   68C    P2   145W / 400W |   2364MiB / 12288MiB |     25%      Default |
| 50%   69C    P2   148W / 400W |   2364MiB / 12288MiB |      3%      Default |
| 50%   69C    P2   146W / 400W |   2364MiB / 12288MiB |     28%      Default |
| 50%   69C    P2   146W / 400W |   2364MiB / 12288MiB |     27%      Default |
| 50%   68C    P2   145W / 400W |   2364MiB / 12288MiB |     25%      Default |
| 50%   69C    P2   148W / 400W |   2364MiB / 12288MiB |      1%      Default |
| 50%   68C    P2   145W / 400W |   2364MiB / 12288MiB |     27%      Default |
| 50%   68C    P2   145W / 400W |   2364MiB / 12288MiB |     27%      Default |
| 50%   68C    P2   145W / 400W |   2364MiB / 12288MiB |     27%      Default |
| 50%   69C    P2   148W / 400W |   2364MiB / 12288MiB |      5%      Default |
| 50%   69C    P2   146W / 400W |   2364MiB / 12288MiB |     28%      Default |
| 49%   68C    P2   145W / 400W |   2364MiB / 12288MiB |     28%      Default |
| 50%   68C    P2   144W / 400W |   2364MiB / 12288MiB |     21%      Default |
| 49%   68C    P2   148W / 400W |   2364MiB / 12288MiB |     35%      Default |
| 49%   69C    P2   147W / 400W |   2364MiB / 12288MiB |     26%      Default |
| 49%   69C    P2   154W / 400W |   2364MiB / 12288MiB |     26%      Default |
| 49%   69C    P2   148W / 400W |   2364MiB / 12288MiB |     16%      Default |
| 49%   69C    P2   147W / 400W |   2364MiB / 12288MiB |     18%      Default |
| 49%   68C    P2   145W / 400W |   2364MiB / 12288MiB |     28%      Default |
| 49%   68C    P2   145W / 400W |   2364MiB / 12288MiB |     28%      Default |
| 49%   68C    P2   144W / 400W |   2364MiB / 12288MiB |     14%      Default |
| 49%   68C    P2   147W / 400W |   2364MiB / 12288MiB |     25%      Default |
| 49%   68C    P2   145W / 400W |   2364MiB / 12288MiB |     28%      Default |
| 49%   68C    P2   145W / 400W |   2364MiB / 12288MiB |     27%      Default |
| 49%   68C    P2   147W / 400W |   2364MiB / 12288MiB |     11%      Default |
| 49%   68C    P2   147W / 400W |   2364MiB / 12288MiB |     35%      Default |
| 49%   68C    P2   145W / 400W |   2364MiB / 12288MiB |     28%      Default |
| 49%   69C    P2   144W / 400W |   2364MiB / 12288MiB |      4%      Default |
| 49%   68C    P2   148W / 400W |   2364MiB / 12288MiB |     39%      Default |
| 48%   68C    P2   145W / 400W |   2364MiB / 12288MiB |     28%      Default |
| 49%   68C    P2   144W / 400W |   2364MiB / 12288MiB |     12%      Default |
| 49%   68C    P2   147W / 400W |   2364MiB / 12288MiB |     35%      Default |
| 49%   68C    P2   145W / 400W |   2364MiB / 12288MiB |     26%      Default |
